n,steps,method,localSize,time
1024,10,kernel_2d.cl,32,0.0734915
1024,10,kernel_2d.cl,64,0.0727423
1024,10,kernel_2d.cl,70,0.0774325
1024,10,kernel_2d.cl,96,0.0727342
1024,10,kernel_2d.cl,100,0.0718965
1024,10,kernel_2d.cl,128,0.0778323
2048,10,kernel_2d.cl,32,0.0810554
2048,10,kernel_2d.cl,64,0.0761677
2048,10,kernel_2d.cl,70,0.0746415
2048,10,kernel_2d.cl,96,0.0743656
2048,10,kernel_2d.cl,100,0.0795137
2048,10,kernel_2d.cl,128,0.0828766
4096,10,kernel_2d.cl,32,0.0847235
4096,10,kernel_2d.cl,64,0.0748191
4096,10,kernel_2d.cl,70,0.0799335
4096,10,kernel_2d.cl,96,0.0786825
4096,10,kernel_2d.cl,100,0.0746661
4096,10,kernel_2d.cl,128,0.0759028
128,100,kernel_2d.cl,32,0.0755021
128,100,kernel_2d.cl,64,0.0864856
128,100,kernel_2d.cl,70,0.0750573
128,100,kernel_2d.cl,96,0.0808908
128,100,kernel_2d.cl,100,0.0795051
128,100,kernel_2d.cl,128,0.0785301
256,100,kernel_2d.cl,32,0.0847091
256,100,kernel_2d.cl,64,0.0806227
256,100,kernel_2d.cl,70,0.0811091
256,100,kernel_2d.cl,96,0.0812193
256,100,kernel_2d.cl,100,0.0861295
256,100,kernel_2d.cl,128,0.0820562
512,100,kernel_2d.cl,32,0.0771871
512,100,kernel_2d.cl,64,0.0819525
512,100,kernel_2d.cl,70,0.0774979
512,100,kernel_2d.cl,96,0.0858053
512,100,kernel_2d.cl,100,0.0829507
512,100,kernel_2d.cl,128,0.0769347
1024,100,kernel_2d.cl,32,0.0813396
1024,100,kernel_2d.cl,64,0.0810208
1024,100,kernel_2d.cl,70,0.0810311
1024,100,kernel_2d.cl,96,0.0817786
1024,100,kernel_2d.cl,100,0.0999161
1024,100,kernel_2d.cl,128,0.0873058
2048,100,kernel_2d.cl,32,0.0916002
2048,100,kernel_2d.cl,64,0.0936262
2048,100,kernel_2d.cl,70,0.0904265
2048,100,kernel_2d.cl,96,0.0894731
2048,100,kernel_2d.cl,100,0.0905059
2048,100,kernel_2d.cl,128,0.0882925
4096,100,kernel_2d.cl,32,0.104842
4096,100,kernel_2d.cl,64,0.107825
4096,100,kernel_2d.cl,70,0.111815
4096,100,kernel_2d.cl,96,0.105402
4096,100,kernel_2d.cl,100,0.109136
4096,100,kernel_2d.cl,128,0.105968
128,1000,kernel_2d.cl,32,0.109964
128,1000,kernel_2d.cl,64,0.107866
128,1000,kernel_2d.cl,70,0.107261
128,1000,kernel_2d.cl,96,0.108333
128,1000,kernel_2d.cl,100,0.107582
128,1000,kernel_2d.cl,128,0.107923
256,1000,kernel_2d.cl,32,0.12106
256,1000,kernel_2d.cl,64,0.121823
256,1000,kernel_2d.cl,70,0.120696
256,1000,kernel_2d.cl,96,0.120072
256,1000,kernel_2d.cl,100,0.121681
256,1000,kernel_2d.cl,128,0.121872
512,1000,kernel_2d.cl,32,0.1414
512,1000,kernel_2d.cl,64,0.142012
512,1000,kernel_2d.cl,70,0.139147
512,1000,kernel_2d.cl,96,0.138828
512,1000,kernel_2d.cl,100,0.134552
512,1000,kernel_2d.cl,128,0.135993
1024,1000,kernel_2d.cl,32,0.171694
1024,1000,kernel_2d.cl,64,0.17608
1024,1000,kernel_2d.cl,70,0.172784
1024,1000,kernel_2d.cl,96,0.162299
1024,1000,kernel_2d.cl,100,0.159963
1024,1000,kernel_2d.cl,128,0.153801
2048,1000,kernel_2d.cl,32,0.20607
2048,1000,kernel_2d.cl,64,0.213293
2048,1000,kernel_2d.cl,70,0.215613
2048,1000,kernel_2d.cl,96,0.211888
