n,steps,method,localSize,time
256,1000,kernel_1_global-memory_1D.ptx,100,0.136131
256,1000,kernel_1_global-memory_1D.ptx,128,0.136565
512,1000,kernel_1_global-memory_1D.ptx,32,0.178772
512,1000,kernel_1_global-memory_1D.ptx,64,0.177768
512,1000,kernel_1_global-memory_1D.ptx,70,0.177065
512,1000,kernel_1_global-memory_1D.ptx,96,0.177589
512,1000,kernel_1_global-memory_1D.ptx,100,0.180255
512,1000,kernel_1_global-memory_1D.ptx,128,0.180178
1024,1000,kernel_1_global-memory_1D.ptx,32,0.259309
1024,1000,kernel_1_global-memory_1D.ptx,64,0.258653
1024,1000,kernel_1_global-memory_1D.ptx,70,0.258004
1024,1000,kernel_1_global-memory_1D.ptx,96,0.260353
1024,1000,kernel_1_global-memory_1D.ptx,100,0.261751
1024,1000,kernel_1_global-memory_1D.ptx,128,0.260558
2048,1000,kernel_1_global-memory_1D.ptx,32,0.422763
2048,1000,kernel_1_global-memory_1D.ptx,64,0.42313
2048,1000,kernel_1_global-memory_1D.ptx,70,0.424925
2048,1000,kernel_1_global-memory_1D.ptx,96,0.426766
2048,1000,kernel_1_global-memory_1D.ptx,100,0.4268
2048,1000,kernel_1_global-memory_1D.ptx,128,0.427583
4096,1000,kernel_1_global-memory_1D.ptx,32,0.752519
4096,1000,kernel_1_global-memory_1D.ptx,64,0.756449
4096,1000,kernel_1_global-memory_1D.ptx,70,0.756464
4096,1000,kernel_1_global-memory_1D.ptx,96,0.747863
4096,1000,kernel_1_global-memory_1D.ptx,100,0.789572
4096,1000,kernel_1_global-memory_1D.ptx,128,0.781881
128,10,kernel_2_shared-memory_1D.ptx,32,0.105132
128,10,kernel_2_shared-memory_1D.ptx,64,0.0904313
128,10,kernel_2_shared-memory_1D.ptx,70,0.0907994
128,10,kernel_2_shared-memory_1D.ptx,96,0.0898235
128,10,kernel_2_shared-memory_1D.ptx,100,0.0936943
128,10,kernel_2_shared-memory_1D.ptx,128,0.0926453
256,10,kernel_2_shared-memory_1D.ptx,32,0.0960994
256,10,kernel_2_shared-memory_1D.ptx,64,0.0899934
256,10,kernel_2_shared-memory_1D.ptx,70,0.0923773
256,10,kernel_2_shared-memory_1D.ptx,96,0.0908429
256,10,kernel_2_shared-memory_1D.ptx,100,0.091435
256,10,kernel_2_shared-memory_1D.ptx,128,0.0922692
512,10,kernel_2_shared-memory_1D.ptx,32,0.0910805
512,10,kernel_2_shared-memory_1D.ptx,64,0.0909951
512,10,kernel_2_shared-memory_1D.ptx,70,0.0882788
512,10,kernel_2_shared-memory_1D.ptx,96,0.0923025
512,10,kernel_2_shared-memory_1D.ptx,100,0.0915034
512,10,kernel_2_shared-memory_1D.ptx,128,0.0918789
1024,10,kernel_2_shared-memory_1D.ptx,32,0.0909579
1024,10,kernel_2_shared-memory_1D.ptx,64,0.088714
1024,10,kernel_2_shared-memory_1D.ptx,70,0.092726
1024,10,kernel_2_shared-memory_1D.ptx,96,0.0891212
1024,10,kernel_2_shared-memory_1D.ptx,100,0.0913789
1024,10,kernel_2_shared-memory_1D.ptx,128,0.0907292
2048,10,kernel_2_shared-memory_1D.ptx,32,0.0938811
2048,10,kernel_2_shared-memory_1D.ptx,64,0.0902333
2048,10,kernel_2_shared-memory_1D.ptx,70,0.0924857
2048,10,kernel_2_shared-memory_1D.ptx,96,0.0925999
2048,10,kernel_2_shared-memory_1D.ptx,100,0.0929997
2048,10,kernel_2_shared-memory_1D.ptx,128,0.0932428
4096,10,kernel_2_shared-memory_1D.ptx,32,0.0935608
4096,10,kernel_2_shared-memory_1D.ptx,64,0.0964613
4096,10,kernel_2_shared-memory_1D.ptx,70,0.0964108
4096,10,kernel_2_shared-memory_1D.ptx,96,0.0985718
4096,10,kernel_2_shared-memory_1D.ptx,100,0.0951821
4096,10,kernel_2_shared-memory_1D.ptx,128,0.097791
128,100,kernel_2_shared-memory_1D.ptx,32,0.0891334
128,100,kernel_2_shared-memory_1D.ptx,64,0.0935609
128,100,kernel_2_shared-memory_1D.ptx,70,0.092825
128,100,kernel_2_shared-memory_1D.ptx,96,0.0927836
128,100,kernel_2_shared-memory_1D.ptx,100,0.0914318
128,100,kernel_2_shared-memory_1D.ptx,128,0.0919101
256,100,kernel_2_shared-memory_1D.ptx,32,0.0928495
256,100,kernel_2_shared-memory_1D.ptx,64,0.0946714
256,100,kernel_2_shared-memory_1D.ptx,70,0.0944971
256,100,kernel_2_shared-memory_1D.ptx,96,0.092208
256,100,kernel_2_shared-memory_1D.ptx,100,0.094137
256,100,kernel_2_shared-memory_1D.ptx,128,0.0933037
512,100,kernel_2_shared-memory_1D.ptx,32,0.100885
512,100,kernel_2_shared-memory_1D.ptx,64,0.0982859
512,100,kernel_2_shared-memory_1D.ptx,70,0.0994961
512,100,kernel_2_shared-memory_1D.ptx,96,0.0969667
512,100,kernel_2_shared-memory_1D.ptx,100,0.0979733
512,100,kernel_2_shared-memory_1D.ptx,128,0.0997886
1024,100,kernel_2_shared-memory_1D.ptx,32,0.107661
1024,100,kernel_2_shared-memory_1D.ptx,64,0.106492
1024,100,kernel_2_shared-memory_1D.ptx,70,0.106256
1024,100,kernel_2_shared-memory_1D.ptx,96,0.105435
1024,100,kernel_2_shared-memory_1D.ptx,100,0.108554
1024,100,kernel_2_shared-memory_1D.ptx,128,0.105274
2048,100,kernel_2_shared-memory_1D.ptx,32,0.125562
2048,100,kernel_2_shared-memory_1D.ptx,64,0.122957
2048,100,kernel_2_shared-memory_1D.ptx,70,0.121334
2048,100,kernel_2_shared-memory_1D.ptx,96,0.1241
2048,100,kernel_2_shared-memory_1D.ptx,100,0.12327
2048,100,kernel_2_shared-memory_1D.ptx,128,0.122857
4096,100,kernel_2_shared-memory_1D.ptx,32,0.161414
4096,100,kernel_2_shared-memory_1D.ptx,64,0.156382
4096,100,kernel_2_shared-memory_1D.ptx,70,0.154453
4096,100,kernel_2_shared-memory_1D.ptx,96,0.159174
4096,100,kernel_2_shared-memory_1D.ptx,100,0.158843
4096,100,kernel_2_shared-memory_1D.ptx,128,0.15873
128,1000,kernel_2_shared-memory_1D.ptx,32,0.115402
128,1000,kernel_2_shared-memory_1D.ptx,64,0.114921
128,1000,kernel_2_shared-memory_1D.ptx,70,0.114631
128,1000,kernel_2_shared-memory_1D.ptx,96,0.115542
128,1000,kernel_2_shared-memory_1D.ptx,100,0.115445
128,1000,kernel_2_shared-memory_1D.ptx,128,0.112969
256,1000,kernel_2_shared-memory_1D.ptx,32,0.137733
256,1000,kernel_2_shared-memory_1D.ptx,64,0.132868
256,1000,kernel_2_shared-memory_1D.ptx,70,0.135137
256,1000,kernel_2_shared-memory_1D.ptx,96,0.133793
256,1000,kernel_2_shared-memory_1D.ptx,100,0.135222
256,1000,kernel_2_shared-memory_1D.ptx,128,0.134725
512,1000,kernel_2_shared-memory_1D.ptx,32,0.180575
512,1000,kernel_2_shared-memory_1D.ptx,64,0.175423
512,1000,kernel_2_shared-memory_1D.ptx,70,0.174484
512,1000,kernel_2_shared-memory_1D.ptx,96,0.173607
512,1000,kernel_2_shared-memory_1D.ptx,100,0.175368
512,1000,kernel_2_shared-memory_1D.ptx,128,0.176458
1024,1000,kernel_2_shared-memory_1D.ptx,32,0.271008
1024,1000,kernel_2_shared-memory_1D.ptx,64,0.254687
1024,1000,kernel_2_shared-memory_1D.ptx,70,0.255167
1024,1000,kernel_2_shared-memory_1D.ptx,96,0.254378
1024,1000,kernel_2_shared-memory_1D.ptx,100,0.255815
1024,1000,kernel_2_shared-memory_1D.ptx,128,0.25323
2048,1000,kernel_2_shared-memory_1D.ptx,32,0.442999
2048,1000,kernel_2_shared-memory_1D.ptx,64,0.417542
2048,1000,kernel_2_shared-memory_1D.ptx,70,0.414569
2048,1000,kernel_2_shared-memory_1D.ptx,96,0.432622
2048,1000,kernel_2_shared-memory_1D.ptx,100,0.417895
2048,1000,kernel_2_shared-memory_1D.ptx,128,0.41166
